Epoch,Time(s),Loss,F1
00554,0.6414,0.2928,0.3275
00555,0.6417,0.2943,0.3041
00556,0.6420,0.2930,0.3142
00557,0.6423,0.2898,0.3342
00558,0.6427,0.2898,0.2873
00559,0.6427,0.2921,0.3469
00560,0.6426,0.2914,0.3028
00561,0.6425,0.2901,0.3197
00562,0.6423,0.2887,0.3348
00563,0.6422,0.2899,0.2960
00564,0.6422,0.2907,0.3407
00565,0.6426,0.2892,0.3130
00566,0.6429,0.2888,0.3266
00567,0.6430,0.2897,0.2959
00568,0.6432,0.2918,0.3553
00569,0.6439,0.2928,0.2167
00570,0.6444,0.3021,0.4099
00571,0.6448,0.3005,0.2343
00572,0.6451,0.3019,0.3130
00573,0.6454,0.2901,0.3813
00574,0.6452,0.2983,0.2428
00575,0.6449,0.2976,0.2747
00576,0.6446,0.2931,0.3873
00577,0.6446,0.2985,0.2891
00578,0.6445,0.2902,0.2668
00579,0.6443,0.2951,0.3271
00580,0.6441,0.2896,0.3538
00581,0.6438,0.2939,0.2978
00582,0.6436,0.2913,0.2659
00583,0.6435,0.2923,0.3637
00584,0.6433,0.2918,0.3201
00585,0.6431,0.2905,0.3010
00586,0.6434,0.2921,0.2821
00587,0.6436,0.2900,0.3643
00588,0.6439,0.2917,0.2977
00589,0.6442,0.2893,0.3021
00590,0.6444,0.2909,0.3124
00591,0.6441,0.2887,0.3556
00592,0.6440,0.2897,0.3026
00593,0.6439,0.2884,0.2958
00594,0.6438,0.2889,0.3430
00595,0.6436,0.2885,0.3209
00596,0.6434,0.2888,0.3169
00597,0.6431,0.2896,0.2783
00598,0.6431,0.2910,0.3638
00599,0.6430,0.2921,0.2536
00600,0.6429,0.2972,0.3286
00601,0.6429,0.2926,0.3029
00602,0.6430,0.2901,0.3328
00603,0.6433,0.2878,0.3251
00604,0.6437,0.2896,0.2701
00605,0.6439,0.2925,0.3513
00606,0.6445,0.2896,0.3190
00607,0.6446,0.2879,0.2975
00608,0.6446,0.2888,0.3512
00609,0.6446,0.2889,0.3007
00610,0.6445,0.2892,0.3258
00611,0.6443,0.2878,0.3364
00612,0.6442,0.2871,0.3202
00613,0.6440,0.2878,0.3307
00614,0.6439,0.2880,0.3094
00615,0.6438,0.2878,0.3424
00616,0.6437,0.2869,0.3233
00617,0.6436,0.2868,0.3229
00618,0.6439,0.2869,0.3453
00619,0.6444,0.2870,0.3084
00620,0.6449,0.2870,0.3466
00621,0.6454,0.2865,0.3265
00622,0.6454,0.2862,0.3263
00623,0.6454,0.2861,0.3427
00624,0.6454,0.2861,0.3188
00625,0.6453,0.2861,0.3405
00626,0.6452,0.2861,0.3219
00627,0.6451,0.2865,0.3471
00628,0.6451,0.2870,0.3085
00629,0.6450,0.2882,0.3580
00630,0.6448,0.2887,0.2700
00631,0.6447,0.2920,0.3679
00632,0.6446,0.2893,0.2870
00633,0.6446,0.2889,0.3459
00634,0.6449,0.2861,0.3423
00635,0.6455,0.2861,0.2932
00636,0.6459,0.2886,0.3594
00637,0.6462,0.2880,0.2995
00638,0.6462,0.2875,0.3417
00639,0.6461,0.2854,0.3436
00640,0.6460,0.2857,0.3071
00641,0.6458,0.2874,0.3622
00642,0.6458,0.2880,0.2907
00643,0.6457,0.2889,0.3562
00644,0.6456,0.2860,0.3287
00645,0.6456,0.2855,0.3306
00646,0.6455,0.2871,0.3339
00647,0.6454,0.2876,0.3371
00648,0.6453,0.2876,0.3049
00649,0.6456,0.2873,0.3869
00650,0.6459,0.2890,0.2590
00651,0.6460,0.2944,0.4040
00652,0.6462,0.2935,0.2635
00653,0.6464,0.2912,0.3258
00654,0.6463,0.2855,0.3861
00655,0.6462,0.2900,0.2643
00656,0.6461,0.2917,0.3281
00657,0.6460,0.2855,0.3869
00658,0.6461,0.2907,0.2697
00659,0.6462,0.2898,0.3142
00660,0.6461,0.2858,0.3943
00661,0.6461,0.2916,0.2858
00662,0.6460,0.2882,0.3002
00663,0.6460,0.2864,0.3880
00664,0.6463,0.2901,0.3084
00665,0.6465,0.2856,0.2937
00666,0.6468,0.2873,0.3661
00667,0.6473,0.2869,0.3453
00668,0.6475,0.2851,0.2847
00669,0.6474,0.2873,0.3436
00670,0.6473,0.2854,0.3468
